Class,Total,Augmented,Original,Produce,Condition,ShelfLifeMin,ShelfLifeMax
Fresh Banana(1-4),590,411,179,banana,fresh,1,4
Fresh Bittermelon(1-3),590,394,196,bittermelon,fresh,1,3
Fresh Cucumber(1-6),590,450,140,cucumber,fresh,1,6
Fresh Orange(1-9),590,335,255,orange,fresh,1,9
Fresh Papaya(1-4),590,472,118,papaya,fresh,1,4
Fresh Tomato(1-10),590,0,590,tomato,fresh,1,10
Fresh eggplant(1-4),590,354,236,eggplant,fresh,1,4
Fresh pineapple(1-15),590,370,220,pineapple,fresh,1,15
Rotten Bittermelon(5-8),590,376,214,bittermelon,rotten,5,8
Rotten Cucumber(12-20),590,543,47,cucumber,rotten,12,20
Rotten Orange(20-35),590,474,116,orange,rotten,20,35
Rotten Papaya(7-12),590,258,332,papaya,rotten,7,12
Rotten Pineapple(25-35),590,378,212,pineapple,rotten,25,35
Rotten Tomato(24-35),590,342,248,tomato,rotten,24,35
Rotten banana(7-13),590,289,301,banana,rotten,7,13
Rotten eggplant(8-15),590,437,153,eggplant,rotten,8,15
Semi Fresh Bittermelon ( 3-5),590,479,111,bittermelon,semi_fresh,3,5
Semi Fresh Cucumber(6-12),590,367,223,cucumber,semi_fresh,6,12
Semi Fresh Papaya(4-7),590,541,49,papaya,semi_fresh,4,7
Semi fresh Orange(9-20),590,176,414,orange,semi_fresh,9,20
Semi fresh Pineapple (15-25),590,470,120,pineapple,semi_fresh,15,25
Semi fresh Tomato(10-24),590,298,292,tomato,semi_fresh,10,24
Semi fresh banana(4-7),590,393,197,banana,semi_fresh,4,7
Semi_Fresh eggplant(4-8),590,336,254,eggplant,semi_fresh,4,8
